IDENTIFIER,CONCEPT_CODE,DEFINITION,PARENT_IDENTIFIER,value,PUBLIC_ID
UBERON_0009647_UBERON_0001690,"","organ part - tissue","UBERON_0001690","tympanic membrane epithelium","organ"
UBERON_0010020_UBERON_0001690,"","tissue","UBERON_0001690","tubotympanic recess epithelium","organ"
UBERON_0010062_UBERON_0001690,"","tissue","UBERON_0001690","pharyngotympanic tube epithelium","organ"
UBERON_0010063_UBERON_0001690,"","tissue","UBERON_0001690","tympanic cavity epithelium","organ"
UBERON_0010065_UBERON_0001690,"","tissue","UBERON_0001690","auditory meatus epithelium","organ"
UBERON_0010069_UBERON_0001690,"","organ part - tissue","UBERON_0001690","outer epithelial layer of tympanic membrane","organ"
UBERON_0014452_UBERON_0001723,"","tissue","UBERON_0001723","gustatory epithelium of tongue","organ"
UBERON_0015807_UBERON_0001690,"","tissue","UBERON_0001690","ear epithelium","organ"
UBERON_0015813_UBERON_0001690,"","tissue","UBERON_0001690","middle ear epithelium","organ"
UBERON_0015814_UBERON_0001690,"","tissue","UBERON_0001690","outer ear epithelium","organ"
UBERON_0019206_UBERON_0001723,"","organ part - tissue","UBERON_0001723","tongue papilla epithelium","organ"
UBERON_0000029_UBERON_0005057,"","","UBERON_0005057","lymph node","organ"
UBERON_0035495_UBERON_0005057,"","","UBERON_0005057","hilum of lymph node","organ"
UBERON_0002006_UBERON_0005057,"","organ part - ","UBERON_0005057","cortex of lymph node","organ"
UBERON_0002007_UBERON_0005057,"","","UBERON_0005057","medulla of lymph node","organ"
UBERON_0002194_UBERON_0005057,"","organ part - ","UBERON_0005057","capsule of lymph node","organ"
UBERON_0002195_UBERON_0005057,"","organ part - ","UBERON_0005057","trabecula of lymph node","organ"
UBERON_0004850_UBERON_0005057,"","tissue","UBERON_0005057","lymph node endothelium","organ"
UBERON_0005463_UBERON_0005057,"","","UBERON_0005057","subcapsular sinus of lymph node","organ"
UBERON_0000045_HUDECA_0000002,"","","HUDECA_0000002","ganglion","organ"
UBERON_0000047_UBERON_0000970,"","","UBERON_0000970","simple eye","organ"
UBERON_0000056_HUDECA_0000002,"","","HUDECA_0000002","ureter","organ"
UBERON_0001254_HUDECA_0000002,"","tissue","HUDECA_0000002","urothelium of ureter","organ"
UBERON_0003475_HUDECA_0000002,"","","HUDECA_0000002","ureteric vein","organ"
UBERON_0009916_HUDECA_0000002,"","organ part - ","HUDECA_0000002","wall of ureter","organ"
UBERON_0015420_HUDECA_0000002,"","organ part - ","HUDECA_0000002","ureteral valve","organ"
UBERON_0000057_HUDECA_0000002,"","","HUDECA_0000002","urethra","organ"
UBERON_0001336_UBERON_0000057,"","organ part - ","UBERON_0000057","membranous urethra of male or female","organ"
UBERON_0012301_UBERON_0000057,"","organ part - ","UBERON_0000057","female membranous urethra","organ"
UBERON_0012302_UBERON_0000057,"","organ part - ","UBERON_0000057","male membranous urethra","organ"
UBERON_0001338_UBERON_0000057,"","","UBERON_0000057","urethral gland","organ"
UBERON_0000461_HUDECA_0000002,"","","HUDECA_0000002","minor vestibular gland","organ"
UBERON_0002366_UBERON_0000057,"","organ part - ","UBERON_0000057","bulbo-urethral gland","organ"
UBERON_0034770_UBERON_0000057,"","organ part - tissue","UBERON_0000057","bulbourethral gland epithelium","organ"
UBERON_0010151_UBERON_0000057,"","","UBERON_0000057","duct of bulbourethral gland","organ"
UBERON_0010186_UBERON_0000057,"","","UBERON_0000057","male urethral gland","organ"
UBERON_0002325_UBERON_0000057,"","tissue","UBERON_0000057","epithelium of urethra","organ"
UBERON_0004787_HUDECA_0000002,"","tissue","HUDECA_0000002","urethra urothelium","organ"
UBERON_0015777_HUDECA_0000002,"","organ part - tissue","HUDECA_0000002","transitional epithelium of prostatic urethra","organ"
UBERON_0016510_UBERON_0000057,"","tissue","UBERON_0000057","epithelium of male urethra","organ"
UBERON_0016520_UBERON_0000057,"","tissue","UBERON_0000057","epithelium of female urethra","organ"
UBERON_0002326_UBERON_0000057,"","organ part - ","UBERON_0000057","lamina propria of urethra","organ"
UBERON_0003829_UBERON_0000057,"","","UBERON_0000057","urethra muscle tissue","organ"
UBERON_0004917_UBERON_0000057,"","","UBERON_0000057","urethral sphincter","organ"
UBERON_0004918_UBERON_0000057,"","","UBERON_0000057","internal urethral sphincter","organ"
UBERON_0004919_UBERON_0000057,"","","UBERON_0000057","external urethral sphincter","organ"
UBERON_0011379_UBERON_0000057,"","","UBERON_0000057","male external urethral sphincter","organ"
UBERON_0011380_UBERON_0000057,"","","UBERON_0000057","female external urethral sphincter","organ"
UBERON_0004219_UBERON_0000057,"","tissue","UBERON_0000057","urethra smooth muscle layer","organ"
UBERON_0010390_UBERON_0000057,"","","UBERON_0000057","lumen of urethra","organ"
UBERON_0012240_UBERON_0000057,"","","UBERON_0000057","urethral meatus","organ"
UBERON_0006565_UBERON_0000057,"","","UBERON_0000057","female urethral meatus","organ"
UBERON_0012241_UBERON_0000057,"","organ part - ","UBERON_0000057","male urethral meatus","organ"
UBERON_0012242_UBERON_0000057,"","","UBERON_0000057","internal urethral orifice","organ"
UBERON_0012299_UBERON_0000057,"","organ part - ","UBERON_0000057","mucosa of urethra","organ"
UBERON_0005013_UBERON_0000057,"","organ part - ","UBERON_0000057","mucosa of male urethra","organ"
UBERON_0005014_UBERON_0000057,"","organ part - ","UBERON_0000057","mucosa of female urethra","organ"
UBERON_0005015_HUDECA_0000002,"","organ part - ","HUDECA_0000002","mucosa of prostatic urethra","organ"
UBERON_0005016_HUDECA_0000002,"","organ part - ","HUDECA_0000002","mucosa of intermediate urethra","organ"
UBERON_0015418_UBERON_0000057,"","tissue","UBERON_0000057","urethra mesenchymal layer","organ"
UBERON_0000059_HUDECA_0000002,"","organ part - ","HUDECA_0000002","large intestine","organ"
UBERON_0000159_UBERON_0000059,"","organ part - ","UBERON_0000059","anal canal","organ"
UBERON_0001052_UBERON_0000059,"","organ part - ","UBERON_0000059","rectum","organ"
UBERON_0001155_UBERON_0000059,"","organ part - ","UBERON_0000059","colon","organ"
UBERON_0001169_UBERON_0000059,"","organ part - ","UBERON_0000059","wall of large intestine","organ"
UBERON_0003453_UBERON_0000059,"","organ part - tissue","UBERON_0000059","large intestine Peyer's patch","organ"
UBERON_0000080_UBERON_0002113,"","","UBERON_0002113","mesonephros","organ"
UBERON_0005103_UBERON_0002113,"","tissue","UBERON_0002113","mesonephric epithelium","organ"
UBERON_0000083_UBERON_0002113,"","tissue","UBERON_0002113","mesonephric tubule","organ"
UBERON_0000084_UBERON_0002113,"","organ part - tissue","UBERON_0002113","ureteric bud","organ"
UBERON_0003074_UBERON_0002113,"","organ part - tissue","UBERON_0002113","mesonephric duct","organ"
UBERON_0005080_UBERON_0002113,"","organ part - tissue","UBERON_0002113","metanephric ureteric bud","organ"
UBERON_0005081_UBERON_0002113,"","organ part - tissue","UBERON_0002113","ureter ureteric bud","organ"
UBERON_0005324_UBERON_0002113,"","tissue","UBERON_0002113","mesonephric macula densa","organ"
UBERON_0005327_UBERON_0002113,"","organ part - tissue","UBERON_0002113","mesonephric glomerular epithelium","organ"
UBERON_0005330_UBERON_0002113,"","organ part - tissue","UBERON_0002113","mesonephric nephron epithelium","organ"
UBERON_0005331_UBERON_0002113,"","tissue","UBERON_0002113","mesonephric renal vesicle","organ"
UBERON_0006190_UBERON_0002113,"","organ part - tissue","UBERON_0002113","mesonephric distal tubule","organ"
UBERON_0006192_UBERON_0002113,"","organ part - tissue","UBERON_0002113","mesonephric proximal tubule","organ"
UBERON_0010534_UBERON_0002113,"","tissue","UBERON_0002113","primitive mesonephric nephron","organ"
UBERON_0005320_UBERON_0002113,"","organ part - ","UBERON_0002113","mesonephric juxtaglomerular apparatus","organ"
UBERON_0005321_UBERON_0002113,"","tissue","UBERON_0002113","mesonephric smooth muscle tissue","organ"
UBERON_0005322_UBERON_0002113,"","organ part - tissue","UBERON_0002113","mesonephric nephron","organ"
UBERON_0005323_UBERON_0002113,"","tissue","UBERON_0002113","mesonephric mesenchyme","organ"
UBERON_0005325_UBERON_0002113,"","organ part - ","UBERON_0002113","mesonephric glomerulus","organ"
UBERON_0005328_UBERON_0002113,"","tissue","UBERON_0002113","mesonephric comma-shaped body","organ"
UBERON_0005332_UBERON_0002113,"","","UBERON_0002113","mesonephric S-shaped body","organ"
UBERON_0006170_UBERON_0002113,"","tissue","UBERON_0002113","mesonephric capsule","organ"
UBERON_0006196_UBERON_0002113,"","","UBERON_0002113","mesonephric sinus","organ"
UBERON_0010537_UBERON_0002113,"","","UBERON_0002113","mesonephric nephron progenitor","organ"
UBERON_0000081_UBERON_0002113,"","","UBERON_0002113","metanephros","organ"
UBERON_0004736_UBERON_0002113,"","organ part - ","UBERON_0002113","metanephric glomerulus","organ"
UBERON_0005108_UBERON_0002113,"","tissue","UBERON_0002113","metanephric epithelium","organ"
UBERON_0005106_UBERON_0002113,"","tissue","UBERON_0002113","metanephric tubule","organ"
UBERON_0005114_UBERON_0002113,"","tissue","UBERON_0002113","metanephric ascending thin limb","organ"
UBERON_0005117_UBERON_0002113,"","organ part - tissue","UBERON_0002113","metanephric distal convoluted tubule","organ"
UBERON_0005122_UBERON_0002113,"","tissue","UBERON_0002113","metanephric macula densa","organ"
UBERON_0005124_UBERON_0002113,"","organ part - tissue","UBERON_0002113","metanephric proximal convoluted tubule","organ"
UBERON_0005125_UBERON_0002113,"","organ part - tissue","UBERON_0002113","metanephric proximal straight tubule","organ"
UBERON_0005127_UBERON_0002113,"","organ part - tissue","UBERON_0002113","metanephric thick ascending limb","organ"
UBERON_0005129_UBERON_0002113,"","organ part - tissue","UBERON_0002113","metanephric distal tubule","organ"
UBERON_0005130_UBERON_0002113,"","organ part - tissue","UBERON_0002113","metanephric loop of Henle","organ"
UBERON_0005134_UBERON_0002113,"","organ part - tissue","UBERON_0002113","metanephric nephron epithelium","organ"
UBERON_0005135_UBERON_0002113,"","organ part - tissue","UBERON_0002113","metanephric glomerular epithelium","organ"
UBERON_0005136_UBERON_0002113,"","tissue","UBERON_0002113","metanephric glomerular endothelium","organ"
UBERON_0005146_UBERON_0002113,"","organ part - tissue","UBERON_0002113","metanephric nephron tubule","organ"
UBERON_0005147_UBERON_0002113,"","tissue","UBERON_0002113","metanephric renal vesicle","organ"
UBERON_0005151_UBERON_0002113,"","organ part - tissue","UBERON_0002113","metanephric proximal tubule","organ"
UBERON_0010535_UBERON_0002113,"","","UBERON_0002113","primitive metanephric nephron","organ"
UBERON_0005109_UBERON_0002113,"","tissue","UBERON_0002113","metanephric smooth muscle tissue","organ"
UBERON_0005110_UBERON_0002113,"","organ part - tissue","UBERON_0002113","metanephric nephron","organ"
UBERON_0005132_UBERON_0002113,"","organ part - tissue","UBERON_0002113","metanephric long nephron","organ"
UBERON_0005140_UBERON_0002113,"","organ part - tissue","UBERON_0002113","metanephric short nephron","organ"
UBERON_0005111_UBERON_0002113,"","organ part - ","UBERON_0002113","metanephric pyramid","organ"
UBERON_0005137_UBERON_0002113,"","tissue","UBERON_0002113","metanephric capsule","organ"
UBERON_0005145_UBERON_0002113,"","tissue","UBERON_0002113","metanephric comma-shaped body","organ"
UBERON_0005249_UBERON_0002113,"","organ part - ","UBERON_0002113","metanephric renal pelvis","organ"
UBERON_0010533_UBERON_0002113,"","organ part - ","UBERON_0002113","metanephros cortex","organ"
UBERON_0000094_HUDECA_0000002,"","","HUDECA_0000002","membrane organ","organ"
UBERON_0000171_HUDECA_0000002,"","","HUDECA_0000002","respiration organ","organ"
UBERON_0000209_UBERON_0004765,"","","UBERON_0004765","tetrapod frontal bone","organ"
UBERON_0006713_UBERON_0004765,"","","UBERON_0004765","foramen cecum of frontal bone","organ"
UBERON_0011576_UBERON_0004765,"","organ part - ","UBERON_0004765","supraorbital ridge","organ"
UBERON_0011627_UBERON_0004765,"","organ part - ","UBERON_0004765","orbital part of frontal bone","organ"
UBERON_0012109_UBERON_0004765,"","organ part - ","UBERON_0004765","zygomatic process of frontal bone","organ"
UBERON_0016440_UBERON_0004765,"","organ part - ","UBERON_0004765","glabella region of bone","organ"
UBERON_0017690_UBERON_0004765,"","organ part - ","UBERON_0004765","internal surface of frontal bone","organ"
UBERON_0000210_UBERON_0004765,"","","UBERON_0004765","tetrapod parietal bone","organ"
UBERON_0000218_UBERON_0004765,"","","UBERON_0004765","vertebral arch of axis","organ"
UBERON_0000303_HUDECA_0000002,"","","HUDECA_0000002","adductor longus","organ"
UBERON_0000311_HUDECA_0000002,"","","HUDECA_0000002","extensor muscle","organ"
UBERON_0000351_HUDECA_0000002,"","","HUDECA_0000002","nuchal ligament","organ"
UBERON_0000366_HUDECA_0000002,"","","HUDECA_0000002","flexor muscle","organ"
UBERON_0000368_HUDECA_0000002,"","","HUDECA_0000002","adductor brevis","organ"
UBERON_0000370_HUDECA_0000002,"","","HUDECA_0000002","adductor magnus","organ"
UBERON_0000372_HUDECA_0000002,"","","HUDECA_0000002","extensor digitorum brevis pes","organ"
UBERON_0000378_HUDECA_0000002,"","organ part - ","HUDECA_0000002","tongue muscle","organ"
UBERON_0000382_UBERON_0002097,"","organ part - tissue","UBERON_0002097","apocrine sweat gland","organ"
UBERON_0000391_HUDECA_0000002,"","","HUDECA_0000002","leptomeninx","organ"
UBERON_0000392_HUDECA_0000002,"","","HUDECA_0000002","longissimus muscle","organ"
UBERON_0000395_UBERON_0000045,"","","UBERON_0000045","cochlear ganglion","organ"
UBERON_0000407_HUDECA_0000002,"","","HUDECA_0000002","sympathetic trunk","organ"
UBERON_0000408_UBERON_0000045,"","","UBERON_0000045","vertebral ganglion","organ"
UBERON_0000409_HUDECA_0000002,"","","HUDECA_0000002","serous gland","organ"
UBERON_0000414_HUDECA_0000002,"","","HUDECA_0000002","mucous gland","organ"
UBERON_0000423_UBERON_0002097,"","organ part - tissue","UBERON_0002097","eccrine sweat gland","organ"
UBERON_0000460_HUDECA_0000002,"","","HUDECA_0000002","major vestibular gland","organ"
UBERON_0000473_UBERON_0000991,"","","UBERON_0000991","testis","organ"
UBERON_0000998_UBERON_0000991,"","organ part - ","UBERON_0000991","seminal vesicle","organ"
UBERON_0001343_UBERON_0000991,"","organ part - ","UBERON_0000991","seminiferous tubule of testis","organ"
UBERON_0003312_UBERON_0000991,"","tissue","UBERON_0000991","mesenchyme of testis","organ"
UBERON_0004910_UBERON_0000991,"","tissue","UBERON_0000991","epithelium of male gonad","organ"
UBERON_0004805_UBERON_0000991,"","organ part - tissue","UBERON_0000991","seminal vesicle epithelium","organ"
UBERON_0004813_UBERON_0000991,"","organ part - tissue","UBERON_0000991","seminiferous tubule epithelium","organ"
UBERON_0005297_UBERON_0000991,"","tissue","UBERON_0000991","testis sex cord","organ"
UBERON_0005051_UBERON_0000991,"","","UBERON_0000991","mediastinum testis","organ"
UBERON_0006643_UBERON_0000991,"","organ part - ","UBERON_0000991","tunica albuginea of testis","organ"
UBERON_0006650_UBERON_0000991,"","organ part - ","UBERON_0000991","tunica vaginalis testis","organ"
UBERON_0000489_HUDECA_0000002,"","","HUDECA_0000002","cavitated compound organ","organ"
UBERON_0000491_HUDECA_0000002,"","","HUDECA_0000002","solid compound organ","organ"
UBERON_0000569_HUDECA_0000002,"","organ part - ","HUDECA_0000002","ileocecal valve","organ"
UBERON_0000642_HUDECA_0000002,"","","HUDECA_0000002","suspensory ligament of duodenum","organ"
UBERON_0000711_HUDECA_0000002,"","","HUDECA_0000002","splenius capitis","organ"
UBERON_0000933_HUDECA_0000002,"","","HUDECA_0000002","pharyngeal muscle","organ"
UBERON_0000945_HUDECA_0000002,"","organ part - ","HUDECA_0000002","stomach","organ"
UBERON_0001167_UBERON_0000945,"","organ part - ","UBERON_0000945","wall of stomach","organ"
UBERON_0003281_UBERON_0000945,"","organ part - ","UBERON_0000945","mesentery of stomach","organ"
UBERON_0005602_UBERON_0000945,"","organ part - ","UBERON_0000945","dorsal mesogastrium","organ"
UBERON_0005626_UBERON_0000945,"","organ part - ","UBERON_0000945","ventral mesogastrium","organ"
UBERON_0001247_UBERON_0000945,"","organ part - ","UBERON_0000945","falciform ligament","organ"
UBERON_0001247_UBERON_0002107,"","organ part - ","UBERON_0002107","falciform ligament","organ"
UBERON_0002399_UBERON_0000945,"","organ part - ","UBERON_0000945","lesser omentum","organ"
UBERON_0009870_UBERON_0000945,"","organ part - ","UBERON_0000945","zone of stomach","organ"
UBERON_0001160_UBERON_0000945,"","organ part - ","UBERON_0000945","fundus of stomach","organ"
UBERON_0004933_UBERON_0000945,"","organ part - ","UBERON_0000945","submucosa of fundus of stomach","organ"
UBERON_0004994_UBERON_0000945,"","organ part - ","UBERON_0000945","mucosa of fundus of stomach","organ"
UBERON_0012503_UBERON_0000945,"","organ part - ","UBERON_0000945","serosa of fundus of stomach","organ"
UBERON_0016502_UBERON_0000945,"","","UBERON_0000945","stomach fundus lumen","organ"
UBERON_0001161_UBERON_0000945,"","organ part - ","UBERON_0000945","body of stomach","organ"
UBERON_0004934_UBERON_0000945,"","organ part - ","UBERON_0000945","submucosa of body of stomach","organ"
UBERON_0004995_UBERON_0000945,"","organ part - ","UBERON_0000945","mucosa of body of stomach","organ"
UBERON_0001162_UBERON_0000945,"","organ part - ","UBERON_0000945","cardia of stomach","organ"
UBERON_0004935_UBERON_0000945,"","organ part - ","UBERON_0000945","submucosa of cardia of stomach","organ"
UBERON_0004996_UBERON_0000945,"","organ part - ","UBERON_0000945","mucosa of cardia of stomach","organ"
UBERON_0001163_UBERON_0000945,"","organ part - ","UBERON_0000945","lesser curvature of stomach","organ"
UBERON_0001164_UBERON_0000945,"","organ part - ","UBERON_0000945","greater curvature of stomach","organ"
UBERON_0001165_UBERON_0000945,"","organ part - ","UBERON_0000945","pyloric antrum","organ"
UBERON_0004936_UBERON_0000945,"","organ part - ","UBERON_0000945","submucosa of pyloric antrum","organ"
UBERON_0004997_UBERON_0000945,"","organ part - ","UBERON_0000945","mucosa of pyloric antrum","organ"
UBERON_0001166_UBERON_0000945,"","organ part - ","UBERON_0000945","pylorus","organ"
UBERON_0001202_UBERON_0000945,"","organ part - ","UBERON_0000945","pyloric sphincter","organ"
UBERON_0004937_UBERON_0000945,"","organ part - ","UBERON_0000945","submucosa of pylorus","organ"
UBERON_0004998_UBERON_0000945,"","organ part - ","UBERON_0000945","mucosa of pylorus","organ"
UBERON_0005637_UBERON_0000945,"","organ part - tissue","UBERON_0000945","pyloric region epithelium","organ"
UBERON_0008858_UBERON_0000945,"","organ part - ","UBERON_0000945","pyloric canal","organ"
UBERON_0011953_UBERON_0000945,"","organ part - ","UBERON_0000945","stomach glandular region","organ"
UBERON_0012650_UBERON_0000945,"","organ part - ","UBERON_0000945","gastroduodenal junction","organ"
UBERON_0013525_UBERON_0000945,"","organ part - ","UBERON_0000945","stomach lumen","organ"
UBERON_0000950_HUDECA_0000002,"","","HUDECA_0000002","gracilis","organ"
UBERON_0000951_HUDECA_0000002,"","","HUDECA_0000002","rotator muscle of the vertebral column","organ"
UBERON_0000955_HUDECA_0000002,"","","HUDECA_0000002","brain","organ"
UBERON_0000315_UBERON_0000955,"","","UBERON_0000955","subarachnoid space","organ"
UBERON_0002897_UBERON_0000955,"","","UBERON_0000955","cistern of lamina terminalis","organ"
UBERON_0002898_UBERON_0000955,"","","UBERON_0000955","chiasmatic cistern","organ"
UBERON_0004047_UBERON_0000955,"","","UBERON_0000955","basal cistern","organ"
UBERON_0004048_UBERON_0000955,"","","UBERON_0000955","pontine cistern","organ"
UBERON_0004049_UBERON_0000955,"","","UBERON_0000955","cerebellomedullary cistern","organ"
UBERON_0004050_UBERON_0000955,"","","UBERON_0000955","subarachnoid cistern","organ"
UBERON_0004051_UBERON_0000955,"","","UBERON_0000955","lateral cerebellomedullary cistern","organ"
UBERON_0004052_UBERON_0000955,"","","UBERON_0000955","quadrigeminal cistern","organ"
UBERON_0005217_UBERON_0000955,"","","UBERON_0000955","midbrain subarachnoid space","organ"
UBERON_0005218_UBERON_0000955,"","","UBERON_0000955","diencephalon subarachnoid space","organ"
UBERON_0005219_UBERON_0000955,"","","UBERON_0000955","hindbrain subarachnoid space","organ"
UBERON_0005974_UBERON_0000955,"","","UBERON_0000955","posterior cerebellomedullary cistern","organ"
UBERON_0000454_UBERON_0000955,"","organ part - ","UBERON_0000955","cerebral subcortex","organ"
UBERON_0002616_UBERON_0000955,"","","UBERON_0000955","regional part of brain","organ"
UBERON_0022438_UBERON_0000955,"","","UBERON_0000955","rostral anterior cingulate cortex","organ"
UBERON_0022730_UBERON_0000955,"","organ part - ","UBERON_0000955","transverse frontopolar gyri complex","organ"
UBERON_0024183_UBERON_0000955,"","","UBERON_0000955","inferior transverse frontopolar gyrus","organ"
UBERON_0024201_UBERON_0000955,"","","UBERON_0000955","superior transverse frontopolar gyrus","organ"
UBERON_0023787_UBERON_0000955,"","","UBERON_0000955","subicular complex","organ"
UBERON_0003013_UBERON_0000955,"","","UBERON_0000955","alar central lobule","organ"
UBERON_0003015_UBERON_0000955,"","","UBERON_0000955","anterior quadrangular lobule","organ"
UBERON_0036063_UBERON_0000955,"","","UBERON_0000955","quadrangular lobule","organ"
UBERON_0034749_UBERON_0000955,"","","UBERON_0000955","retrolenticular part of internal capsule","organ"
UBERON_0034751_UBERON_0000955,"","","UBERON_0000955","primary auditory cortex","organ"
UBERON_0034989_UBERON_0000955,"","organ part - ","UBERON_0000955","amygdalopiriform transition area","organ"
UBERON_0006095_UBERON_0000955,"","","UBERON_0000955","anterior transverse temporal area 41","organ"
UBERON_0001393_UBERON_0000955,"","organ part - ","UBERON_0000955","auditory cortex","organ"
UBERON_0034752_UBERON_0000955,"","","UBERON_0000955","secondary auditory cortex","organ"
UBERON_0003939_UBERON_0000955,"","organ part - ","UBERON_0000955","transverse gyrus of Heschl","organ"
UBERON_0002773_UBERON_0000955,"","organ part - ","UBERON_0000955","anterior transverse temporal gyrus","organ"
UBERON_0002774_UBERON_0000955,"","organ part - ","UBERON_0000955","posterior transverse temporal gyrus","organ"
UBERON_0006096_UBERON_0000955,"","","UBERON_0000955","posterior transverse temporal area 42","organ"
UBERON_0001894_UBERON_0000955,"","","UBERON_0000955","diencephalon","organ"
UBERON_0019269_UBERON_0000955,"","","UBERON_0000955","gray matter of diencephalon","organ"
UBERON_0002709_UBERON_0000955,"","","UBERON_0000955","posterior nuclear complex of thalamus","organ"
UBERON_0001927_UBERON_0000955,"","","UBERON_0000955","medial geniculate body","organ"
UBERON_0002627_UBERON_0000955,"","","UBERON_0000955","capsule of medial geniculate body","organ"
UBERON_0002758_UBERON_0000955,"","","UBERON_0000955","dorsal nucleus of medial geniculate body","organ"
UBERON_0002985_UBERON_0000955,"","","UBERON_0000955","ventral nucleus of medial geniculate body","organ"
UBERON_0002608_UBERON_0000955,"","","UBERON_0000955","caudal part of ventral lateral nucleus","organ"
UBERON_0002614_UBERON_0000955,"","","UBERON_0000955","medial part of ventral lateral nucleus","organ"
UBERON_0002617_UBERON_0000955,"","","UBERON_0000955","pars postrema of ventral lateral nucleus","organ"
UBERON_0002632_UBERON_0000955,"","","UBERON_0000955","medial part of medial mammillary nucleus","organ"
UBERON_0002650_UBERON_0000955,"","","UBERON_0000955","paralaminar part of medial dorsal nucleus","organ"
UBERON_0002664_UBERON_0000955,"","","UBERON_0000955","lateral part of medial mammillary nucleus","organ"
UBERON_0002687_UBERON_0000955,"","","UBERON_0000955","area X of ventral lateral nucleus","organ"
UBERON_0002781_UBERON_0000955,"","","UBERON_0000955","caudal part of ventral posterolateral nucleus of thalamus","organ"
UBERON_0002978_UBERON_0000955,"","","UBERON_0000955","oral part of ventral lateral nucleus","organ"
UBERON_0003019_UBERON_0000955,"","","UBERON_0000955","oral part of ventral posterolateral nucleus","organ"
UBERON_0003024_UBERON_0000955,"","","UBERON_0000955","principal part of ventral posteromedial nucleus","organ"
UBERON_0010225_UBERON_0000955,"","","UBERON_0000955","thalamic complex","organ"
UBERON_0001897_UBERON_0000955,"","","UBERON_0000955","dorsal plus ventral thalamus","organ"
UBERON_0001898_UBERON_0000955,"","","UBERON_0000955","hypothalamus","organ"
UBERON_0014533_UBERON_0000955,"","","UBERON_0000955","medullary lamina of thalamus","organ"
UBERON_0002762_UBERON_0000955,"","","UBERON_0000955","internal medullary lamina of thalamus","organ"
UBERON_0014534_UBERON_0000955,"","","UBERON_0000955","external medullary lamina of thalamus","organ"
UBERON_0014912_UBERON_0000955,"","","UBERON_0000955","thalamic eminence","organ"
UBERON_0016641_UBERON_0000955,"","","UBERON_0000955","subparafascicular nucleus","organ"
UBERON_0034876_UBERON_0000955,"","","UBERON_0000955","future neurohypophysis","organ"
UBERON_0001928_UBERON_0000955,"","","UBERON_0000955","preoptic area","organ"
UBERON_0002286_UBERON_0000955,"","organ part - ","UBERON_0000955","third ventricle","organ"
UBERON_0003098_UBERON_0000955,"","tissue","UBERON_0000955","optic stalk","organ"
UBERON_0003290_UBERON_0000955,"","","UBERON_0000955","meninx of diencephalon","organ"
UBERON_0003553_UBERON_0000955,"","","UBERON_0000955","diencephalon pia mater","organ"
UBERON_0003558_UBERON_0000955,"","","UBERON_0000955","diencephalon arachnoid mater","organ"
UBERON_0003564_UBERON_0000955,"","","UBERON_0000955","diencephalon dura mater","organ"
UBERON_0003296_UBERON_0000955,"","","UBERON_0000955","gland of diencephalon","organ"
UBERON_0001905_UBERON_0000955,"","","UBERON_0000955","pineal body","organ"
UBERON_0002197_UBERON_0000955,"","","UBERON_0000955","median eminence of neurohypophysis","organ"
UBERON_0002648_UBERON_0000955,"","","UBERON_0000955","anterior median eminence","organ"
UBERON_0002652_UBERON_0000955,"","","UBERON_0000955","posterior median eminence","organ"
UBERON_0003301_UBERON_0000955,"","tissue","UBERON_0000955","roof plate of diencephalon","organ"
UBERON_0003309_UBERON_0000955,"","","UBERON_0000955","floor plate of diencephalon","organ"
UBERON_0003931_UBERON_0000955,"","","UBERON_0000955","diencephalic white matter","organ"
UBERON_0034746_UBERON_0000955,"","organ part - ","UBERON_0000955","anterior thalamic radiation","organ"
UBERON_0002720_UBERON_0000955,"","","UBERON_0000955","mammillary peduncle","organ"
UBERON_0002801_UBERON_0000955,"","","UBERON_0000955","stratum zonale of thalamus","organ"
UBERON_0006086_UBERON_0000955,"","","UBERON_0000955","stria medullaris","organ"
UBERON_0009641_UBERON_0000955,"","","UBERON_0000955","ansa lenticularis","organ"
UBERON_0022235_UBERON_0000955,"","","UBERON_0000955","peduncle of diencephalon","organ"
UBERON_0022236_UBERON_0000955,"","","UBERON_0000955","peduncle of thalamus","organ"
UBERON_0022237_UBERON_0000955,"","","UBERON_0000955","anterior thalamic peduncle","organ"
UBERON_0022241_UBERON_0000955,"","","UBERON_0000955","superior thalamic peduncle","organ"
UBERON_0022242_UBERON_0000955,"","","UBERON_0000955","inferior thalamic peduncle","organ"
UBERON_0022243_UBERON_0000955,"","","UBERON_0000955","posterior thalamic peduncle","organ"
UBERON_0034745_UBERON_0000955,"","","UBERON_0000955","radiation of thalamus","organ"
UBERON_0006569_UBERON_0000955,"","","UBERON_0000955","diencephalic nucleus","organ"
UBERON_0000433_UBERON_0000955,"","","UBERON_0000955","posterior paraventricular nucleus of thalamus","organ"
UBERON_0000434_UBERON_0000955,"","","UBERON_0000955","anterior paraventricular nucleus of thalamus","organ"
UBERON_0001925_UBERON_0000955,"","","UBERON_0000955","ventral lateral nucleus of thalamus","organ"
UBERON_0001936_UBERON_0000955,"","organ part - ","UBERON_0000955","tuberomammillary nucleus","organ"
UBERON_0001937_UBERON_0000955,"","","UBERON_0000955","lateral hypothalamic nucleus","organ"
UBERON_0002637_UBERON_0000955,"","","UBERON_0000955","ventral anterior nucleus of thalamus","organ"
UBERON_0002685_UBERON_0000955,"","","UBERON_0000955","anteroventral nucleus of thalamus","organ"
