UBERON_0001726;papilla of tongue
UBERON_0002570;medial orbital gyrus
UBERON_0002644;intermediate orbital gyrus
UBERON_0002766;fusiform gyrus
UBERON_0002973;parahippocampal gyrus
UBERON_0022383;anterior parahippocampal gyrus
UBERON_0034773;uncus of parahippocampal gyrus
UBERON_0001953;presubiculum
UBERON_0002656;periamygdaloid area
UBERON_0002657;posterior parahippocampal gyrus
UBERON_0002728;entorhinal cortex
UBERON_0022323;entorhinal cortex layer 4
UBERON_0022325;entorhinal cortex layer 5
UBERON_0022327;entorhinal cortex layer 3
UBERON_0022329;entorhinal cortex layer 6
UBERON_0022336;entorhinal cortex layer 1
UBERON_0022337;entorhinal cortex layer 2
UBERON_0035933;paracentral lobule
UBERON_0035932;anterior segment of paracentral lobule
UBERON_0035934;posterior segment of paracentral lobule
UBERON_0002581;postcentral gyrus
UBERON_0002599;medial olfactory gyrus
UBERON_0002686;angular gyrus
UBERON_0002688;supramarginal gyrus
UBERON_0002967;cingulate gyrus
UBERON_0002738;isthmus of cingulate gyrus
UBERON_0002740;posterior cingulate gyrus
UBERON_0002756;anterior cingulate gyrus
UBERON_0002724;limen of insula
UBERON_0002751;inferior temporal gyrus
UBERON_0002769;superior temporal gyrus
UBERON_0002771;middle temporal gyrus
UBERON_0003939;transverse gyrus of Heschl
UBERON_0002773;anterior transverse temporal gyrus
UBERON_0002774;posterior transverse temporal gyrus
UBERON_0004671;gyrus rectus
UBERON_0006093;precuneus cortex
UBERON_0014640;occipital gyrus
UBERON_0006114;lateral occipital cortex
UBERON_0022367;inferior lateral occipital cortex
UBERON_0022368;superior lateral occipital cortex
UBERON_0002943;lingual gyrus
UBERON_0002948;superior occipital gyrus
UBERON_0006092;cuneus cortex
UBERON_0014608;inferior occipital gyrus
UBERON_0015593;frontal gyrus
UBERON_0004167;orbitofrontal cortex
UBERON_0022352;medial orbital frontal cortex
UBERON_0002799;fronto-orbital sulcus
UBERON_0002998;inferior frontal gyrus
UBERON_0002624;orbital part of inferior frontal gyrus
UBERON_0002629;triangular part of inferior frontal gyrus
UBERON_0002980;opercular part of inferior frontal gyrus
UBERON_0002661;superior frontal gyrus
UBERON_0002702;middle frontal gyrus
UBERON_0006445;caudal middle frontal gyrus
UBERON_0006446;rostral middle frontal gyrus
UBERON_0002703;precentral gyrus
UBERON_0007190;paracentral gyrus
UBERON_0007191;anterior paracentral gyrus
UBERON_0007192;posterior paracentral gyrus
UBERON_0001874;putamen
UBERON_0001875;globus pallidus
UBERON_0002476;lateral globus pallidus
UBERON_0002477;medial globus pallidus
UBERON_0002727;medial medullary lamina of globus pallidus
UBERON_0002765;lateral medullary lamina of globus pallidus
UBERON_0002778;ventral pallidum
UBERON_0006516;dorsal pallidum
UBERON_0001881;island of Calleja
UBERON_0001882;nucleus accumbens
UBERON_0012170;core of nucleus accumbens
UBERON_0012171;shell of nucleus accumbens
UBERON_0002437;cerebral hemisphere white matter
UBERON_0022260;radiation of cerebral hemisphere
UBERON_0022262;auditory radiation
UBERON_0022264;optic radiation
UBERON_0034746;anterior thalamic radiation
UBERON_0034747;posterior thalamic radiation
UBERON_0015708;splenium of the corpus callosum
UBERON_0034678;forceps minor of corpus callosum
UBERON_0008967;centrum semiovale
UBERON_0000373;tapetum of corpus callosum
UBERON_0003029;stria terminalis
UBERON_0001887;internal capsule of telencephalon
UBERON_0014525;limb of internal capsule of telencephalon
UBERON_0014526;anterior limb of internal capsule
UBERON_0014527;posterior limb of internal capsule
UBERON_0002940;anterior column of fornix
UBERON_0004545;external capsule of telencephalon
UBERON_0004682;corona radiata of neuraxis
UBERON_0014528;extreme capsule
UBERON_0015510;body of corpus callosum
UBERON_0015703;rostrum of corpus callosum
UBERON_0016527;white matter of cerebral lobe
UBERON_0016528;white matter of frontal lobe
UBERON_0016531;white matter of parietal lobe
UBERON_0016534;white matter of temporal lobe
UBERON_0016535;white matter of occipital lobe
UBERON_0016536;white matter of limbic lobe
UBERON_0000908;hippocampal commissure
UBERON_0002473;intercerebral commissure
UBERON_0002336;corpus callosum
UBERON_0035924;radiation of corpus callosum
UBERON_0015599;genu of corpus callosum
UBERON_0000935;anterior commissure
UBERON_0003039;anterior commissure anterior part
UBERON_0003043;posterior part of anterior commissure
UBERON_0002741;diagonal band of Broca
UBERON_0006125;subdivision of diagonal band
UBERON_0006123;horizontal limb of the diagonal band
UBERON_0006124;vertical limb of the diagonal band
UBERON_0002745;ventral amygdalofugal projection
UBERON_0015117;lamina terminalis of cerebral hemisphere
UBERON_0005401;cerebral hemisphere gray matter
UBERON_0006108;corticomedial nuclear complex
UBERON_0034673;amygdalohippocampal area
UBERON_0002890;anterior amygdaloid area
UBERON_0002891;cortical amygdaloid nucleus
UBERON_0002892;medial amygdaloid nucleus
UBERON_0002022;insula
UBERON_0034891;insular cortex
UBERON_0002713;circular sulcus of insula
UBERON_0001876;amygdala
UBERON_0034989;amygdalopiriform transition area
UBERON_0002729;claustral amygdaloid area
UBERON_0002883;central amygdaloid nucleus
UBERON_0002884;intercalated amygdaloid nuclei
UBERON_0006107;basolateral amygdaloid nuclear complex
UBERON_0002885;accessory basal amygdaloid nucleus
UBERON_0002886;lateral amygdaloid nucleus
UBERON_0002887;basal amygdaloid nucleus
UBERON_0002888;lateral part of basal amygdaloid nucleus
UBERON_0002889;medial part of basal amygdaloid nucleus
UBERON_0002663;septal nuclear complex
UBERON_0007629;medial septal complex
UBERON_0001877;medial septal nucleus
UBERON_0001879;nucleus of diagonal band
UBERON_0007628;lateral septal complex
UBERON_0001878;septofimbrial nucleus
UBERON_0001880;bed nucleus of stria terminalis
UBERON_0002219;subfornical organ
UBERON_0002931;dorsal septal nucleus
UBERON_0002933;nucleus of anterior commissure
UBERON_0002977;triangular septal nucleus
UBERON_0000446;septum of telencephalon
UBERON_0004714;septum pellucidum
UBERON_0002742;lamina of septum pellucidum
UBERON_0009857;cavum septum pellucidum
UBERON_0016529;cortex of cerebral lobe
UBERON_0001870;frontal cortex
UBERON_0000451;prefrontal cortex
UBERON_0013541;Brodmann (1909) area 10
UBERON_0013545;Brodmann (1909) area 14
UBERON_0001384;primary motor cortex
UBERON_0006482;Brodmann (1909) area 45
UBERON_0014639;frontal sulcus
UBERON_0022252;precentral sulcus
UBERON_0002669;anterior horizontal limb of lateral sulcus
UBERON_0002670;anterior ascending limb of lateral sulcus
UBERON_0002672;anterior subcentral sulcus
UBERON_0002675;diagonal sulcus
UBERON_0016542;limbic cortex
UBERON_0003027;cingulate cortex
UBERON_0022353;posterior cingulate cortex
UBERON_0022428;cingulate cortex cingulum
UBERON_0006476;Brodmann (1909) area 33
UBERON_0009835;anterior cingulate cortex
UBERON_0022438;rostral anterior cingulate cortex
UBERON_0006101;Brodmann (1909) area 24
UBERON_0016538;temporal cortex
UBERON_0016530;parietal cortex
UBERON_0016540;occipital cortex
UBERON_0002023;claustrum of brain
UBERON_0002136;hilus of dentate gyrus
UBERON_0000956;cerebral cortex
UBERON_0022398;paracingulate gyrus
UBERON_0000411;visual cortex
UBERON_0002436;primary visual cortex
UBERON_0014370;extrastriate cortex
UBERON_0006473;Brodmann (1909) area 18
UBERON_0013550;Brodmann (1909) area 19
UBERON_0001393;auditory cortex
UBERON_0034751;primary auditory cortex
UBERON_0034752;secondary auditory cortex
UBERON_0001950;neocortex
UBERON_0002301;layer of neocortex
UBERON_0005390;cortical layer I
UBERON_0005391;cortical layer II
UBERON_0005392;cortical layer III
UBERON_0005393;cortical layer IV
UBERON_0005394;cortical layer V
UBERON_0005395;cortical layer VI
UBERON_0006094;superior parietal cortex
UBERON_0002421;hippocampal formation
UBERON_0023787;subicular complex
UBERON_0035970;calcar avis of the lateral ventricle
UBERON_0000052;fornix of brain
UBERON_0002310;hippocampus fimbria
UBERON_0003016;postcommissural fornix of brain
UBERON_0004680;body of fornix
UBERON_0006115;posterior column of fornix
UBERON_0014539;precommissural fornix of forebrain
UBERON_0001885;dentate gyrus of hippocampal formation
UBERON_0002304;layer of dentate gyrus
UBERON_0004679;dentate gyrus molecular layer
UBERON_0022346;dentate gyrus molecular layer middle
UBERON_0022347;dentate gyrus molecular layer inner
UBERON_0002928;dentate gyrus polymorphic layer
UBERON_0001954;Ammon's horn
UBERON_0022430;hippocampus cortex cingulum
UBERON_0007640;hippocampus stratum lacunosum moleculare
UBERON_0005368;hippocampus molecular layer
UBERON_0005370;hippocampus stratum lacunosum
UBERON_0014557;CA1 stratum lacunosum moleculare
UBERON_0014558;CA2 stratum lacunosum moleculare
UBERON_0014559;CA3 stratum lacunosum moleculare
UBERON_0002191;subiculum
UBERON_0002305;layer of hippocampus
UBERON_0035787;layer of CA2 field
UBERON_0035802;alveus of CA2 field
UBERON_0014549;pyramidal layer of CA2
UBERON_0014551;CA2 stratum oriens
UBERON_0014555;CA2 stratum radiatum
UBERON_0007637;hippocampus stratum lucidum
UBERON_0005371;hippocampus stratum oriens
UBERON_0014552;CA1 stratum oriens
UBERON_0014553;CA3 stratum oriens
UBERON_0002313;hippocampus pyramidal layer
UBERON_0014548;pyramidal layer of CA1
UBERON_0014550;pyramidal layer of CA3
CL_1001571;hippocampal pyramidal neuron
UBERON_0005372;hippocampus stratum radiatum
UBERON_0014554;CA1 stratum radiatum
UBERON_0014556;CA3 stratum radiatum
UBERON_0035786;layer of CA1 field
UBERON_0035788;layer of CA3 field
UBERON_0003876;hippocampal field
UBERON_0003881;CA1 field of hippocampus
UBERON_0003882;CA2 field of hippocampus
UBERON_0003883;CA3 field of hippocampus
UBERON_0003884;CA4 field of hippocampus
UBERON_0004683;parasubiculum
UBERON_0007639;hippocampus alveus
UBERON_0002586;calcarine sulcus
UBERON_0002590;prepyriform area
UBERON_0002683;rhinal sulcus
UBERON_0002721;lateral sulcus
UBERON_0002894;olfactory cortex
UBERON_0022317;olfactory cortex layer 1
UBERON_0022318;olfactory cortex layer 2
UBERON_0035044;olfactory cortex layer 3
UBERON_0001883;olfactory tubercle
UBERON_0002266;anterior olfactory nucleus
UBERON_0002893;nucleus of lateral olfactory tract
UBERON_0002895;secondary olfactory cortex
UBERON_0004725;piriform cortex
UBERON_0002916;central sulcus
UBERON_0006083;perirhinal cortex
UBERON_0006102;Brodmann (1909) area 35
UBERON_0006104;Brodmann (1909) area 36
UBERON_0009834;dorsolateral prefrontal cortex
CL_0010012;cerebral cortex neuron
UBERON_0013529;Brodmann area
UBERON_0004717;Brodmann (1909) area 29
UBERON_0004718;Brodmann (1909) area 26
UBERON_0006095;anterior transverse temporal area 41
UBERON_0006096;posterior transverse temporal area 42
UBERON_0006099;Brodmann (1909) area 1
UBERON_0006100;Brodmann (1909) area 3
UBERON_0006471;Brodmann (1909) area 5
UBERON_0006472;Brodmann (1909) area 6
UBERON_0006474;Brodmann (1909) area 30
UBERON_0006475;Brodmann (1909) area 31
UBERON_0006477;Brodmann (1909) area 34
UBERON_0006478;Brodmann (1909) area 37
UBERON_0006479;Brodmann (1909) area 38
UBERON_0006480;Brodmann (1909) area 39
UBERON_0006481;Brodmann (1909) area 44
UBERON_0006483;Brodmann (1909) area 46
UBERON_0006484;Brodmann (1909) area 47
UBERON_0006485;Brodmann (1909) area 48
UBERON_0006486;Brodmann (1909) area 52
UBERON_0013528;Brodmann (1909) area 11
UBERON_0013533;Brodmann (1909) area 2
UBERON_0013538;Brodmann (1909) area 7
UBERON_0013539;Brodmann (1909) area 8
UBERON_0013543;Brodmann (1909) area 12
UBERON_0013544;Brodmann (1909) area 13
UBERON_0013546;Brodmann (1909) area 15
UBERON_0013547;Brodmann (1909) area 16
UBERON_0013551;Brodmann (1909) area 20
UBERON_0013553;Brodmann (1909) area 22
UBERON_0013554;Brodmann (1909) area 23
UBERON_0013556;Brodmann (1909) area 25
UBERON_0013560;Brodmann (1909) area 32
UBERON_0013561;Brodmann (1909) area 43
UBERON_0013693;cerebral cortex neuropil
UBERON_0014734;allocortex
UBERON_0002961;archicortex
UBERON_0014735;paleocortex
UBERON_0014950;layer of developing cerebral cortex
UBERON_0034711;cortical preplate
UBERON_0004040;cortical intermediate zone
UBERON_0004035;cortical subplate
UBERON_0005343;cortical plate
UBERON_0014935;cerebral cortex marginal layer
UBERON_0016634;premotor cortex
UBERON_0016636;supplemental motor cortex
UBERON_0009899;pole of cerebral hemisphere
UBERON_0002576;temporal pole
UBERON_0002795;frontal pole
UBERON_0002902;occipital pole
UBERON_0014532;white matter lamina of cerebral hemisphere
UBERON_0016526;lobe of cerebral hemisphere
UBERON_0002021;occipital lobe
UBERON_0019303;occipital sulcus
UBERON_0002901;posterior calcarine sulcus
UBERON_0002900;transverse occipital sulcus
UBERON_0002903;lunate sulcus
UBERON_0002906;anterior occipital sulcus
UBERON_0002698;preoccipital notch
UBERON_0016525;frontal lobe
UBERON_0022730;transverse frontopolar gyri complex
UBERON_0024183;inferior transverse frontopolar gyrus
UBERON_0024201;superior transverse frontopolar gyrus
UBERON_0002595;orbital sulcus
UBERON_0010262;operculum of brain
UBERON_0002560;temporal operculum
UBERON_0002593;orbital operculum
UBERON_0002605;precentral operculum
UBERON_0002911;parietal operculum
UBERON_0002947;frontal operculum
UBERON_0001871;temporal lobe
UBERON_0022429;temporal cortex cingulum
UBERON_0014687;temporal sulcus
UBERON_0002569;transverse temporal sulcus
UBERON_0002734;superior temporal sulcus
UBERON_0002969;inferior temporal sulcus
UBERON_0001872;parietal lobe
UBERON_0035927;sulcus of parietal lobe
UBERON_0002913;intraparietal sulcus
UBERON_0002915;postcentral sulcus of parietal lobe
UBERON_0006088;inferior parietal cortex
UBERON_0002600;limbic lobe
UBERON_0005366;olfactory lobe
UBERON_0002264;olfactory bulb
UBERON_0002922;olfactory trigone
UBERON_0022273;lacrimal lake
UBERON_0022274;lacrimal papilla
UBERON_0022275;colic flexure
UBERON_0022276;splenic flexure of colon
UBERON_0022277;hepatic flexure of colon
UBERON_0001711;eyelid
UBERON_0001712;upper eyelid
UBERON_0019254;upper eyelash
UBERON_0003844;upper eyelid epithelium
UBERON_0003857;upper eyelid mesenchyme
UBERON_0004773;superior eyelid tarsus
UBERON_0010309;palpebral bone
UBERON_0001713;lower eyelid
UBERON_0019255;lower eyelash
UBERON_0003845;lower eyelid epithelium
UBERON_0003858;lower eyelid mesenchyme
UBERON_0004774;inferior eyelid tarsus
UBERON_0034772;margin of eyelid
UBERON_0035034;eyelid epithelium
UBERON_0001604;levator palpebrae superioris
UBERON_0001812;palpebral conjunctiva
UBERON_0003510;eyelid blood vessel
UBERON_0003581;eyelid connective tissue
UBERON_0009648;eyelid subcutaneous connective tissue
UBERON_0004772;eyelid tarsus
UBERON_0001818;tarsal gland
UBERON_0001822;orbital septum
UBERON_0004724;medial palpebral ligament
UBERON_0010330;eyelid mesenchyme
UBERON_0013229;eyelid gland
UBERON_0013228;sweat gland of eyelid
UBERON_0013231;sebaceous gland of eyelid
UBERON_0004923;organ component layer
UBERON_0000344;mucosa
UBERON_0019042;reproductive system mucosa
UBERON_0001295;endometrium
UBERON_0002337;endometrial stroma
UBERON_0004811;endometrium epithelium
UBERON_0022355;basal layer of endometrium
UBERON_0022356;outer layer of endometrium
UBERON_0012276;endometrium glandular epithelium
UBERON_0011949;endometrium luminal epithelium
UBERON_0015172;endometrial blood vessel
UBERON_0004983;mucosa of vagina
UBERON_0004984;mucosa of seminal vesicle
UBERON_0004985;mucosa of ejaculatory duct
UBERON_0004986;mucosa of deferent duct
UBERON_0005048;mucosa of uterine tube
UBERON_0005049;mucosa of infundibulum of uterine tube
UBERON_0018343;oviduct mucosal fold
UBERON_0034885;viscerocranial mucosa
UBERON_0035838;esophagogastric junction mucosa
UBERON_0004786;gastrointestinal system mucosa
UBERON_0001242;intestinal mucosa
UBERON_0001204;mucosa of small intestine
UBERON_0000320;duodenal mucosa
UBERON_0008342;intestinal villus of duodenum
UBERON_0008346;duodenal epithelium
UBERON_0013482;crypt of Lieberkuhn of duodenum
UBERON_0015834;duodenum lamina propria
UBERON_0012494;muscularis mucosae of duodenum
UBERON_0000331;ileal mucosa
UBERON_0008344;intestinal villus of ileum
UBERON_0008345;ileal epithelium
UBERON_0013481;crypt of Lieberkuhn of ileum
UBERON_0000399;jejunal mucosa
UBERON_0008343;intestinal villus of jejunum
UBERON_0000400;jejunal epithelium
UBERON_0013483;crypt of Lieberkuhn of jejunum
UBERON_0016519;muscularis mucosae of jejunum
UBERON_0001210;muscularis mucosae of small intestine
UBERON_0001238;lamina propria of small intestine
UBERON_0001902;epithelium of small intestine
UBERON_0022280;epithelium of crypt of Lieberkuhn of small intestine
UBERON_0013636;epithelium of intestinal villus
UBERON_0003454;small intestine Peyer's patch
UBERON_0001207;mucosa of large intestine
UBERON_0000317;colonic mucosa
UBERON_0000314;cecum mucosa
UBERON_0004989;mucosa of appendix
UBERON_0009697;epithelium of appendix
UBERON_0013486;crypt of Lieberkuhn of appendix
UBERON_0013478;cecal tonsil
UBERON_0004990;mucosa of ascending colon
UBERON_0004991;mucosa of transverse colon
UBERON_0004992;mucosa of descending colon
UBERON_0004993;mucosa of sigmoid colon
UBERON_0007177;lamina propria of mucosa of colon
UBERON_0007178;muscularis mucosae of colon
UBERON_0013485;crypt of Lieberkuhn of colon
UBERON_0003342;mucosa of anal canal
UBERON_0003346;mucosa of rectum
UBERON_0001239;muscularis mucosae of large intestine
UBERON_0001278;epithelium of large intestine
UBERON_0000397;colonic epithelium
UBERON_0005636;caecum epithelium
UBERON_0013695;colon endothelium
UBERON_0003354;epithelium of rectum
UBERON_0015716;anal canal epithelium
UBERON_0022281;epithelium of crypt of Lieberkuhn of large intestine
UBERON_0001984;crypt of Lieberkuhn of large intestine
UBERON_0011189;lamina propria of large intestine
UBERON_0000333;intestinal gland
UBERON_0001983;crypt of Lieberkuhn
UBERON_0001241;crypt of Lieberkuhn of small intestine
UBERON_0011184;epithelium of crypt of Lieberkuhn
UBERON_0001211;Peyer's patch
UBERON_0003453;large intestine Peyer's patch
UBERON_0004693;Peyer's patch epithelium
UBERON_0004697;Peyer's patch germinal center
UBERON_0010386;Peyer's patch follicle
UBERON_0001240;muscularis mucosae of intestine
UBERON_0001277;intestinal epithelium
UBERON_0001199;mucosa of stomach
UBERON_0012651;mucosa of gastroduodenal junction
UBERON_0000424;gastric pit
UBERON_0001203;muscularis mucosae of stomach
UBERON_0001276;epithelium of stomach
UBERON_0008791;rugal fold of stomach
UBERON_0005023;mucosa of oropharynx
UBERON_0004780;gastrointestinal system lamina propria
UBERON_0006676;muscularis mucosa
UBERON_0035840;esophagogastric junction muscularis mucosa
UBERON_0004648;esophagus muscularis mucosa
UBERON_0006912;urinary bladder muscularis mucosa
UBERON_0004980;mucosa of ureter
UBERON_0001259;mucosa of urinary bladder
UBERON_0005009;mucosa of trigone of urinary bladder
UBERON_0001261;lamina propria of urinary bladder
UBERON_0004645;urinary bladder urothelium
UBERON_0003729;mouth mucosa
UBERON_0006956;buccal mucosa
UBERON_0035967;alveolar mucosa
UBERON_0036293;oral frenulum
UBERON_0006689;frenulum of tongue
UBERON_0016910;frenulum of lip
UBERON_0016912;frenulum of upper lip
UBERON_0016913;frenulum of lower lip
UBERON_0036294;mucosa of lip
UBERON_0005031;mucosa of upper lip
UBERON_0005032;mucosa of lower lip
UBERON_0005020;mucosa of tongue
UBERON_0010052;mucosa of dorsum of tongue
UBERON_0006919;tongue squamous epithelium
UBERON_0004650;tongue keratinized epithelium
UBERON_0006916;non-keratinized epithelium of tongue
UBERON_0001828;gingiva
UBERON_0011601;gingiva of upper jaw
UBERON_0011602;gingiva of lower jaw
UBERON_0001949;gingival epithelium
UBERON_0012376;retromolar triangle
UBERON_0003343;mucosa of oral region
UBERON_0005334;oral lamina propria
UBERON_0001830;minor salivary gland
UBERON_0002447;palatine gland
UBERON_0006330;anterior lingual gland
UBERON_0005019;mucosa of palate
UBERON_0005024;mucosa of soft palate
UBERON_0005046;mucosa of hard palate
UBERON_0002424;oral epithelium
UBERON_0014453;gustatory epithelium of palate
UBERON_0011642;oral epithelium from ectoderm
UBERON_0009671;nasal fin
UBERON_0012287;Rathkes pouch epithelium
UBERON_0002469;esophagus mucosa
UBERON_0001974;lamina propria of esophagus
UBERON_0001976;epithelium of esophagus
UBERON_0004785;respiratory system mucosa
UBERON_0000355;pharyngeal mucosa
UBERON_0004987;mucosa of laryngopharynx
UBERON_0005022;mucosa of nasopharynx
UBERON_0034721;pharyngeal taste bud
UBERON_0000379;tracheal mucosa
UBERON_0000410;bronchial mucosa
UBERON_0005039;mucosa of bronchiole
UBERON_0005040;mucosa of terminal bronchiole
UBERON_0005041;mucosa of respiratory bronchiole
UBERON_0002051;epithelium of bronchiole
UBERON_0001955;epithelium of respiratory bronchiole
UBERON_0001958;terminal bronchiole epithelium
UBERON_0005036;mucosa of main bronchus
UBERON_0005037;mucosa of lobar bronchus
UBERON_0005038;mucosa of segmental bronchus
UBERON_0002338;lamina propria of bronchus
UBERON_0001824;mucosa of larynx
UBERON_0005047;mucosa of vocal fold
UBERON_0004789;larynx mucous gland
UBERON_0001826;nasal cavity mucosa
UBERON_0005386;olfactory segment of nasal mucosa
UBERON_0001997;olfactory epithelium
UBERON_0002232;olfactory gland
UBERON_0015784;duct of olfactory gland
UBERON_0015785;acinus of olfactory gland
UBERON_0015786;respiratory segment of nasal mucosa
UBERON_0005384;nasal cavity epithelium
UBERON_0012278;gland of nasal mucosa
UBERON_0000031;lamina propria of trachea
UBERON_0004779;respiratory system lamina propria
UBERON_0005033;mucosa of gallbladder
UBERON_0004999;mucosa of biliary tree
UBERON_0004988;mucosa of cystic duct
UBERON_0005000;mucosa of common bile duct
UBERON_0005001;mucosa of common hepatic duct
UBERON_0005006;mucosa of renal pelvis
UBERON_0005007;mucosa of major calyx
UBERON_0005008;mucosa of minor calyx
UBERON_0005018;mucosa of nasal septum
UBERON_0005021;mucosa of sphenoidal sinus
UBERON_0005026;mucosa of middle ear
UBERON_0005027;mucosa of frontal sinus
UBERON_0005028;mucosa of maxillary sinus
UBERON_0005029;mucosa of lacrimal canaliculus
UBERON_0005030;mucosa of paranasal sinus
UBERON_0005043;mucosa of nasolacrimal duct
UBERON_0005045;mucosa of ethmoidal sinus
UBERON_0012299;mucosa of urethra
UBERON_0005013;mucosa of male urethra
UBERON_0005014;mucosa of female urethra
UBERON_0005016;mucosa of intermediate urethra
UBERON_0012480;cloacal mucosa
UBERON_0000030;lamina propria
UBERON_0002326;lamina propria of urethra
UBERON_0005205;lamina propria of vagina
UBERON_0006815;areolar connective tissue
UBERON_0003350;epithelium of mucosa
UBERON_0008790;rugal fold
UBERON_0012430;tunica fibrosa of eyeball
UBERON_0000964;cornea
UBERON_0001772;corneal epithelium
UBERON_0001777;substantia propria of cornea
UBERON_0003952;anterior stroma of cornea
UBERON_0003953;posterior stroma of cornea
UBERON_0011865;corneal stroma collagen fibril
UBERON_0001985;corneal endothelium
UBERON_0003500;corneal blood vessel
UBERON_0004367;Descemet's membrane
UBERON_0004370;anterior limiting lamina of cornea
UBERON_0011918;line of Schwalbe
UBERON_0001773;sclera
UBERON_0035966;scleral lamina cribrosa
UBERON_0010291;layer of sclera
UBERON_0010292;episcleral layer of eyeball
UBERON_0010294;scleral endothelium
UBERON_0010295;substantia propria of sclera
UBERON_0022350;visceral serous membrane
UBERON_0002401;visceral pleura
UBERON_0002425;visceral serous pericardium
UBERON_0002348;epicardium
UBERON_0001082;epicardium of ventricle
UBERON_0015128;subepicardial layer of epicardium
UBERON_0001178;visceral peritoneum
UBERON_0007826;peritoneal mesentery
UBERON_0001170;mesentery of small intestine
UBERON_0022357;mesentery of ileum
UBERON_0003397;mesentery of duodenum
UBERON_0005711;foregut duodenum mesentery
UBERON_0005712;midgut duodenum mesentery
UBERON_0003398;mesentery of jejunum
UBERON_0003396;mesentery of colon
UBERON_0013138;coronary ligament of liver
UBERON_0022351;parietal serous membrane
UBERON_0002408;parietal serous pericardium
UBERON_0001366;parietal peritoneum
UBERON_0002400;parietal pleura
UBERON_0001768;uvea
UBERON_0001776;optic choroid
UBERON_0002443;choroidal blood vessel
UBERON_0013399;blood vessel layer of choroid
UBERON_0003957;Bruch's membrane
UBERON_0005336;capillary layer of choroid
UBERON_0010293;suprachoroid lamina
UBERON_0003956;aqueous drainage system
UBERON_0004029;canal of Schlemm
UBERON_0005969;eye trabecular meshwork
UBERON_0006206;iridocorneal angle
UBERON_0011892;anterior uvea
UBERON_0001769;iris
UBERON_0001606;muscle of iris
UBERON_0001607;sphincter pupillae
UBERON_0004234;iris smooth muscle
UBERON_0001771;pupil
UBERON_0001779;iris stroma
UBERON_0002269;pupillary membrane
UBERON_0002506;iris epithelium
UBERON_0004118;vasculature of iris
UBERON_0001775;ciliary body
UBERON_0034935;pars plicata of ciliary body
UBERON_0034936;pars plana of ciliary body
UBERON_0001605;ciliary muscle
UBERON_0001778;ciliary epithelium
UBERON_0009016;ciliary stroma
UBERON_0010427;ciliary processes
UBERON_0000009;submucosa
UBERON_0035839;esophagogastric junction submucosa
UBERON_0004777;respiratory system submucosa
UBERON_0001957;submucosa of bronchus
UBERON_0004949;submucosa of main bronchus
UBERON_0004950;submucosa of lobar bronchus
UBERON_0004951;submucosa of segmental bronchus
UBERON_0004952;submucosa of bronchiole
UBERON_0003616;bronchus elastic tissue
UBERON_0002202;submucosa of trachea
UBERON_0003617;trachea elastic tissue
UBERON_0005203;trachea gland
UBERON_0004778;larynx submucosa
UBERON_0004924;submucosa of pharynx
UBERON_0003611;respiratory system elastic tissue
UBERON_0004938;submucosa of biliary tree
UBERON_0004926;submucosa of cystic duct
UBERON_0004939;submucosa of common bile duct
UBERON_0004940;submucosa of common hepatic duct
UBERON_0004943;submucosa of urinary bladder
UBERON_0011298;submucosa of uterine tube
UBERON_0018257;submucosa of digestive tract
UBERON_0001200;submucosa of stomach
UBERON_0001972;submucosa of esophagus
UBERON_0009566;intestinal submucosa
UBERON_0001205;submucosa of small intestine
UBERON_0003332;submucosa of duodenum
UBERON_0003333;submucosa of jejunum
UBERON_0004946;submucosa of ileum
UBERON_0001208;submucosa of large intestine
UBERON_0003329;submucosa of anal canal
UBERON_0003330;submucosa of rectum
UBERON_0003331;submucosa of colon
UBERON_0004927;submucosa of cecum
UBERON_0004929;submucosa of ascending colon
UBERON_0004930;submucosa of transverse colon
UBERON_0004931;submucosa of descending colon
UBERON_0004932;submucosa of sigmoid colon
UBERON_0012482;submucosa of cloaca
UBERON_0004797;blood vessel layer
UBERON_0005734;tunica adventitia of blood vessel
UBERON_0004664;aorta tunica adventitia
UBERON_0007240;tunica adventitia of artery
UBERON_0007241;tunica adventitia of vein
UBERON_0002522;tunica media
UBERON_0003618;aorta tunica media
UBERON_0007239;tunica media of artery
UBERON_0007243;tunica media of vein
UBERON_0015433;blood vessel external elastic membrane
UBERON_0003619;aorta tunica intima
UBERON_0005740;tunica intima of artery
UBERON_0007242;tunica intima of vein
UBERON_0000158;membranous layer
UBERON_0003893;capsule
UBERON_0035316;prostatic capsule
UBERON_0002194;capsule of lymph node
UBERON_0001307;capsule of ovary
UBERON_0001304;germinal epithelium of ovary
UBERON_0006644;tunica albuginea of ovary
UBERON_0001746;capsule of thyroid gland
UBERON_0001748;capsule of parathyroid gland
UBERON_0002052;adrenal gland capsule
UBERON_0002122;capsule of thymus
UBERON_0004641;spleen capsule
UBERON_0005207;tonsil capsule
UBERON_0016479;capsule of liver
UBERON_0018235;capsule of pancreas
UBERON_0000157;theca interna
UBERON_0000156;theca externa
UBERON_0002515;periosteum
UBERON_0013687;pericranium
UBERON_0016896;periosteum of long bone
UBERON_0000312;inner cambium layer of periosteum
UBERON_0009858;outer fibrous layer of periosteum
UBERON_0005631;extraembryonic membrane
UBERON_0000305;amnion
UBERON_0003254;amniotic ectoderm
UBERON_0003262;amniotic mesoderm
