UBERON_0000483;epithelium
UBERON_0005140;metanephric short nephron
UBERON_0005110;metanephric nephron
UBERON_0004737;metanephric collecting duct
UBERON_0005115;metanephric cortical collecting duct
UBERON_0005134;metanephric nephron epithelium
UBERON_0005135;metanephric glomerular epithelium
UBERON_0005144;metanephric glomerular capillary
UBERON_0005148;metanephric S-shaped body
UBERON_0005309;pronephric nephron
UBERON_0007306;pronephric glomerular capillary
UBERON_0005322;mesonephric nephron
UBERON_0005319;mesonephric collecting duct
UBERON_0005330;mesonephric nephron epithelium
UBERON_0005327;mesonephric glomerular epithelium
UBERON_0006183;mesonephric glomerular capillary
CL_1000449;epithelial cell of nephron
CL_1001225;kidney collecting duct cell
CL_1000454;kidney collecting duct epithelial cell
CL_1001432;kidney collecting duct intercalated cell
CL_1000715;kidney cortex collecting duct intercalated cell
CL_1000717;kidney outer medulla collecting duct intercalated cell
CL_1000549;kidney cortex collecting duct epithelial cell
CL_1000548;kidney outer medulla collecting duct epithelial cell
CL_1000546;kidney medulla collecting duct epithelial cell
CL_1000612;kidney corpuscule cell
CL_1000746;glomerular cell
CL_0002173;extraglomerular mesangial cell
CL_0002188;glomerular endothelial cell
CL_1000510;kidney glomerular epithelial cell
CL_1000450;epithelial cell of glomerular capsule
CL_1000451;epithelial cell of visceral layer of glomerular capsule
UBERON_0001229;renal corpuscle
UBERON_0000074;renal glomerulus
UBERON_0004736;metanephric glomerulus
UBERON_0005133;metanephric glomerulus vasculature
UBERON_0005119;metanephric glomerular mesangium
UBERON_0004739;pronephric glomerulus
UBERON_0007307;pronephric glomerular basement membrane
UBERON_0005325;mesonephric glomerulus
UBERON_0005326;mesonephric glomerulus vasculature
UBERON_0006182;mesonephric glomerular mesangium
UBERON_0002319;mesangium
UBERON_0002320;glomerular mesangium
UBERON_0002321;extraglomerular mesangium
UBERON_0004188;glomerular epithelium
UBERON_0005777;glomerular basement membrane
UBERON_0005787;lamina densa of glomerular basement membrane
UBERON_0005788;lamina rara interna
UBERON_0005789;lamina rara externa
UBERON_0004190;renal glomerulus vasculature
UBERON_0004212;glomerular capillary
UBERON_0001230;glomerular capsule
UBERON_0001286;Bowman's space
UBERON_0005749;glomerular tuft
UBERON_0005751;visceral layer of glomerular capsule
UBERON_0004639;renal afferent arteriole
UBERON_0004640;renal efferent arteriole
UBERON_0001232;collecting duct of renal tubule
UBERON_0004204;outer medullary collecting duct
UBERON_0004205;inner medullary collecting duct
UBERON_0004203;cortical collecting duct
UBERON_0005185;renal medulla collecting duct
UBERON_0004211;nephron epithelium
UBERON_0010532;primitive nephron
UBERON_0010535;primitive metanephric nephron
UBERON_0004198;comma-shaped body
UBERON_0005145;metanephric comma-shaped body
UBERON_0005328;mesonephric comma-shaped body
UBERON_0004199;S-shaped body
UBERON_0005332;mesonephric S-shaped body
UBERON_0010065;auditory meatus epithelium
UBERON_0007500;epithelial tube open at both ends
UBERON_0002325;epithelium of urethra
UBERON_0004787;urethra urothelium
UBERON_0015777;transitional epithelium of prostatic urethra
CL_1001430;urethra urothelial cell
UBERON_0016510;epithelium of male urethra
UBERON_0016520;epithelium of female urethra
UBERON_0010062;pharyngotympanic tube epithelium
UBERON_0009201;nephric duct
UBERON_0003060;pronephric duct
UBERON_0005106;metanephric tubule
UBERON_0006279;pleuroperitoneal canal
UBERON_0014704;pleuroperitoneal canal lumen
UBERON_0013247;male paramesonephric duct
UBERON_0007502;epithelial plexus
UBERON_0013141;capillary bed
UBERON_0011202;urachus epithelium
UBERON_0013248;paradidymis
UBERON_0013249;paroophoron
UBERON_0000486;multilaminar epithelium
UBERON_0000365;urothelium
UBERON_0001254;urothelium of ureter
UBERON_0005912;transitional epithelium of major calyx
CL_1000706;ureter urothelial cell
UBERON_0011947;ureter luminal urothelium
UBERON_0004645;urinary bladder urothelium
CL_1001428;bladder urothelial cell
UBERON_0004788;kidney pelvis urothelium
CL_1000703;kidney pelvis urothelial cell
CL_0000731;urothelial cell
CL_1000442;urothelial cell of trigone of urinary bladder
CL_1000486;basal cell of urothelium
UBERON_0007179;basal cell layer of urothelium
UBERON_0001344;epithelium of vagina
UBERON_0006923;vagina squamous epithelium
CL_1001578;vagina squamous cell
UBERON_0007602;stratified columnar epithelium
UBERON_0007606;ciliated stratified columnar epithelium
UBERON_0004290;dermomyotome
UBERON_0005154;epithelial cord
UBERON_0009843;prostate epithelial cord
UBERON_0005295;sex cord
UBERON_0005296;ovary sex cord
UBERON_0005297;testis sex cord
UBERON_0010141;primitive sex cord of indifferent gonad
UBERON_0006915;stratified squamous epithelium
UBERON_0012329;keratinized stratified squamous epithelium
UBERON_0019307;epithelium of external nose
UBERON_0004650;tongue keratinized epithelium
UBERON_0002018;synovial membrane of synovial joint
CL_0000214;synovial cell
CL_0002301;type B synovial cell
CL_0002302;type A synovial cell
UBERON_0001949;gingival epithelium
UBERON_0013195;parakeratinized epithelium of gingiva
UBERON_0010304;non-keratinized stratified squamous epithelium
UBERON_0006763;epithelium of conjunctiva
UBERON_0006916;non-keratinized epithelium of tongue
UBERON_0006922;cervix squamous epithelium
UBERON_0007603;stratified cuboidal epithelium
UBERON_0015760;mixed stratified cuboidal and columnar epithelium
UBERON_0000488;atypical epithelium
UBERON_0000420;myoepithelium
UBERON_0035076;parotid gland myoepithelium
UBERON_0006954;mammary gland myoepithelium
UBERON_0001778;ciliary epithelium
UBERON_0006934;sensory epithelium
UBERON_0002926;gustatory epithelium
UBERON_0014453;gustatory epithelium of palate
UBERON_0034670;palatal taste bud
UBERON_0014452;gustatory epithelium of tongue
UBERON_0001727;taste bud
UBERON_0034717;integumental taste bud
UBERON_0034719;lip taste bud
UBERON_0034720;head taste bud
UBERON_0034726;trunk taste bud
UBERON_0034721;pharyngeal taste bud
UBERON_0034722;mouth roof taste bud
UBERON_0034724;esophageal taste bud
UBERON_0014451;tongue taste bud
UBERON_0007691;gustatory pore
UBERON_0006932;vestibular epithelium
UBERON_0003241;epithelium of utricle
CL_1000379;type 1 vestibular sensory cell of epithelium of macula of utricle of membranous labyrinth
CL_1000383;type 2 vestibular sensory cell of epithelium of macula of utricle of membranous labyrinth
UBERON_0003242;epithelium of saccule
CL_1000380;type 1 vestibular sensory cell of epithelium of macula of saccule of membranous labyrinth
CL_1000384;type 2 vestibular sensory cell of epithelium of macula of saccule of membranous labyrinth
UBERON_0003363;epithelium of ductus reuniens
UBERON_0006935;crista ampullaris neuroepithelium
UBERON_0007274;crista of ampulla of anterior semicircular duct of membranous laybrinth
UBERON_0007275;crista of ampulla of posterior semicircular duct of membranous laybrinth
UBERON_0007276;crista of ampulla of lateral semicircular duct of membranous laybrinth
CL_1000381;type 1 vestibular sensory cell of epithelium of crista of ampulla of semicircular duct of membranous labyrinth
CL_1000385;type 2 vestibular sensory cell of epithelium of crista of ampulla of semicircular duct of membranous labyrinth
UBERON_0009969;statoacoustic epithelium
CL_1000378;type 1 vestibular sensory cell of stato-acoustic epithelium
CL_1000382;type 2 vestibular sensory cell of stato-acoustic epithelium
UBERON_0002506;iris epithelium
CL_0002565;iris pigment epithelial cell
UBERON_0013193;parakeratinized epithelium
UBERON_0006918;parakeratinized epithelium of tongue
UBERON_0003929;digestive tract epithelium
UBERON_0001976;epithelium of esophagus
UBERON_0006920;esophagus squamous epithelium
CL_1000447;epithelial cell of stratum germinativum of esophagus
CL_3000000;ciliated epithelial cell of esophagus
UBERON_0002424;oral epithelium
UBERON_0006919;tongue squamous epithelium
UBERON_0008420;buccal epithelium
UBERON_0019206;tongue papilla epithelium
CL_1001576;oral mucosa squamous cell
UBERON_0003351;pharyngeal epithelium
UBERON_0001952;epithelium of oropharynx
UBERON_0005562;thymus primordium
UBERON_0008817;thymus primordium endoderm
UBERON_0009695;epithelium of laryngopharynx
UBERON_0013696;tonsil epithelium
UBERON_0012181;tonsil crypt
UBERON_0003352;epithelium of midgut
UBERON_0003353;epithelium of hindgut
UBERON_0003357;epithelium of tongue
UBERON_0006699;foramen cecum of tongue
UBERON_0004809;salivary gland epithelium
UBERON_0003359;epithelium of submandibular gland
UBERON_0003360;epithelium of parotid gland
UBERON_0003361;epithelium of sublingual gland
UBERON_0006913;lip epithelium
UBERON_0012481;cloacal epithelium
UBERON_0015833;foregut epithelium
UBERON_0009722;entire pharyngeal arch endoderm
UBERON_0016885;epithelium of terminal part of digestive tract
UBERON_0035037;jaw epithelium
UBERON_0003235;epithelium of upper jaw
UBERON_0003358;epithelium of soft palate
UBERON_0003368;epithelium of hard palate
UBERON_0005653;upper jaw molar epithelium
UBERON_0005658;secondary palatal shelf epithelium
UBERON_0005659;primary palate epithelium
UBERON_0005709;upper jaw incisor epithelium
UBERON_0003236;epithelium of lower jaw
UBERON_0005654;lower jaw molar epithelium
UBERON_0005710;lower jaw incisor epithelium
UBERON_0006957;submandibular gland primordium epithelium
CL_0000682;M cell of gut
UBERON_0007503;epithelial vesicle
UBERON_0002329;somite
UBERON_0005594;head somite
UBERON_0005598;trunk somite
UBERON_0009621;tail somite
UBERON_0015178;somite border
UBERON_0015179;somite boundary epithelium
UBERON_0003304;mesoderm blood island
UBERON_0004209;renal vesicle
UBERON_0005147;metanephric renal vesicle
UBERON_0005331;mesonephric renal vesicle
UBERON_0011921;connecting stalk blood islands
UBERON_0003350;epithelium of mucosa
UBERON_0004811;endometrium epithelium
UBERON_0022355;basal layer of endometrium
UBERON_0022356;outer layer of endometrium
UBERON_0011949;endometrium luminal epithelium
UBERON_0004807;respiratory system epithelium
UBERON_0004808;gastrointestinal system epithelium
UBERON_0004819;kidney epithelium
UBERON_0005103;mesonephric epithelium
UBERON_0005108;metanephric epithelium
UBERON_0004825;dental lamina
UBERON_0015840;incisor dental lamina
UBERON_0015841;molar dental lamina
UBERON_0004909;epithelium of gonad
UBERON_0004910;epithelium of male gonad
UBERON_0004911;epithelium of female gonad
UBERON_0005170;granulosa cell layer
UBERON_0001306;cumulus oophorus
UBERON_0005157;epithelial fold
UBERON_0005153;epithelial bud
UBERON_0022284;lacrimal gland bud
UBERON_0000118;lung bud
UBERON_0005333;mammary bud
UBERON_0005062;neural fold
UBERON_0005891;coelomic epithelium
UBERON_0005911;endo-epithelium
UBERON_0010069;outer epithelial layer of tympanic membrane
UBERON_0003846;thymus epithelium
UBERON_0006936;thymus subcapsular epithelium
UBERON_0013697;exocrine pancreas epithelium
UBERON_0006914;squamous epithelium
UBERON_0010077;cuboidal epithelium
UBERON_0007590;cuboidal oviduct epithelium
UBERON_0007601;ciliated epithelium
UBERON_0004670;ependyma
UBERON_0005357;brain ependyma
UBERON_0004642;third ventricle ependyma
UBERON_0004643;lateral ventricle ependyma
UBERON_0004644;fourth ventricle ependyma
UBERON_0005359;spinal cord ependyma
UBERON_0008367;breast epithelium
UBERON_0010303;extraembryonic epithelium
UBERON_0010371;ecto-epithelium
UBERON_0019204;skin epithelium
UBERON_0005975;hair follicle bulge
UBERON_0006004;hair follicle matrix region
UBERON_0006005;hair follicle isthmus
UBERON_0007376;outer epithelium
UBERON_0001003;skin epidermis
UBERON_0009200;limb epidermis
CL_0000312;keratinocyte
CL_2000092;hair follicular keratinocyte
CL_0000242;Merkel cell
CL_0000649;prickle cell
CL_0002187;basal cell of epidermis
CL_0002189;granular cell of epidermis
CL_0002190;squamous cell of epidermis
CL_0002135;nonkeratinized cell of epidermis
CL_1000428;stem cell of epidermis
CL_2000000;epidermal melanocyte
CL_0002483;hair follicle melanocyte
UBERON_0001037;strand of hair
UBERON_0001702;eyelash
UBERON_0019254;upper eyelash
UBERON_0019255;lower eyelash
UBERON_0010509;strand of pelage hair
UBERON_0013698;strand of pubic hair
UBERON_0013699;strand of axillary hair
UBERON_0015144;autopod hair
UBERON_0015145;pes hair
UBERON_0015146;manus hair
UBERON_0015148;tail hair
UBERON_0015149;ventral hair
UBERON_0015150;dorsal hair
UBERON_0016446;hair of head
UBERON_0022279;strand of hair on external ear
UBERON_0015147;pinna hair
UBERON_0010171;strand of hair of face
UBERON_0011931;nasal hair
UBERON_0016447;hair of trunk
UBERON_0000329;hair root
UBERON_0002074;hair shaft
UBERON_0002076;cuticle of hair
UBERON_0002077;cortex of hair
UBERON_0005184;hair medulla
UBERON_0011901;hair matrix
UBERON_0002025;stratum basale of epidermis
CL_0000209;taste receptor cell
CL_0002285;type III taste bud cell
CL_0002286;type II taste cell
CL_0002287;type IV taste receptor cell
CL_0002288;type V taste receptor cell
CL_0002289;type I taste bud cell
UBERON_0002026;stratum spinosum of epidermis
UBERON_0002069;stratum granulosum of epidermis
CL_0000712;stratum granulosum cell
UBERON_0002071;stratum lucidum of epidermis
UBERON_0002073;hair follicle
UBERON_0015252;coat hair follicle
CL_0002559;hair follicle cell
UBERON_0005932;bulb of hair follicle
UBERON_0005933;hair root sheath
UBERON_0005941;hair inner root sheath
UBERON_0005942;hair outer root sheath
UBERON_0005943;hair root sheath matrix
UBERON_0005968;infundibulum of hair follicle
UBERON_0004882;eponychium
UBERON_0007771;epidermis gland
UBERON_0001821;sebaceous gland
UBERON_0015251;modified sebaceous gland
UBERON_0001818;tarsal gland
UBERON_0004000;tarsal gland acinus
UBERON_0000359;preputial gland
UBERON_0005301;male preputial gland
UBERON_0005302;female preputial gland
UBERON_0012281;perianal sebaceous gland
UBERON_0003487;skin sebaceous gland
UBERON_0003484;eye sebaceous gland
UBERON_0013231;sebaceous gland of eyelid
UBERON_0018233;gland of Zeis
UBERON_0003485;vagina sebaceous gland
UBERON_0011827;areolar gland
UBERON_0011854;acinus of areolar gland
CL_2000021;sebaceous gland native cell
CL_0000317;sebum secreting cell
UBERON_0011845;duct of sebaceous gland
UBERON_0011846;acinus of sebaceous gland
UBERON_0001820;sweat gland
UBERON_0000382;apocrine sweat gland
UBERON_0034762;areolar sweat gland
UBERON_0013228;sweat gland of eyelid
UBERON_0018232;axillary sweat gland
UBERON_0035074;duct of apocrine sweat gland
UBERON_0000423;eccrine sweat gland
UBERON_0014391;palmar/plantar sweat gland
UBERON_0035073;duct of eccrine sweat gland
UBERON_0007773;scrotal sweat gland
CL_1000448;epithelial cell of sweat gland
CL_1000417;myoepithelial cell of sweat gland
UBERON_0004790;skin mucous gland
UBERON_0009564;distal limb integumentary appendage
UBERON_0001705;nail
UBERON_0009565;nail of manual digit
UBERON_0011273;nail of manual digit 1
UBERON_0011274;nail of manual digit 2
UBERON_0011275;nail of manual digit 3
UBERON_0011276;nail of manual digit 4
UBERON_0011277;nail of manual digit 5
UBERON_0009567;nail of pedal digit
UBERON_0011278;nail of pedal digit 1
UBERON_0011279;nail of pedal digit 2
UBERON_0011280;nail of pedal digit 3
UBERON_0011281;nail of pedal digit 4
UBERON_0011282;nail of pedal digit 5
UBERON_0002283;nail matrix
UBERON_0004105;subungual region
UBERON_0005273;nail bed
UBERON_0005278;nail bed of finger
UBERON_0005279;nail bed of toe
UBERON_0008198;nail plate
UBERON_0011190;lunule of nail
UBERON_0015886;root of nail
UBERON_0010402;epidermis suprabasal layer
CL_0000362;epidermal cell
UBERON_0006964;pars distalis of adenohypophysis
CL_0002177;folliculostellate cell of pars distalis of adenohypophysis
UBERON_0003075;neural plate
UBERON_0003854;spinal cord neural plate
UBERON_0009610;forebrain neural plate
UBERON_0009611;midbrain neural plate
UBERON_0009614;hindbrain neural plate
UBERON_0003056;pre-chordal neural plate
UBERON_0003057;chordal neural plate
UBERON_0005061;neural groove
UBERON_0009615;midbrain hindbrain boundary neural plate
UBERON_0003249;epithelium of otic placode
UBERON_0003229;epithelium of elbow
UBERON_0003231;epithelium of hip
UBERON_0003232;epithelium of knee
UBERON_0003233;epithelium of shoulder
UBERON_0003244;epithelium of mammary gland
UBERON_0011950;mammary gland luminal epithelium
UBERON_0003247;epithelium of forearm
UBERON_0003355;epithelium of incisor
UBERON_0015842;incisor enamel organ
UBERON_0003843;dental epithelium
UBERON_0015839;molar epithelium
UBERON_0015843;molar enamel organ
UBERON_0003911;choroid plexus epithelium
UBERON_0004274;lateral ventricle choroid plexus epithelium
UBERON_0004275;third ventricle choroid plexus epithelium
UBERON_0004276;fourth ventricle choroid plexus epithelium
UBERON_0005078;lamina terminalis of neural tube
UBERON_0005225;upper leg epithelium
UBERON_0005228;upper arm epithelium
UBERON_0005229;lower leg epithelium
UBERON_0005656;lens vesicle epithelium
UBERON_0006937;inner ear epithelium
UBERON_0003238;epithelium of superior semicircular canal
UBERON_0003239;epithelium of posterior semicircular canal
UBERON_0003240;epithelium of lateral semicircular canal
UBERON_0003243;epithelium of cochlear duct
UBERON_0003362;epithelium of endolymphatic duct
UBERON_0015808;eye epithelium
UBERON_0035034;eyelid epithelium
UBERON_0003844;upper eyelid epithelium
UBERON_0003845;lower eyelid epithelium
UBERON_0001772;corneal epithelium
UBERON_0001782;pigmented layer of retina
CL_0002586;retinal pigment epithelial cell
UBERON_0004817;lacrimal gland epithelium
UBERON_0005638;anterior chamber epithelium
UBERON_0019306;nose epithelium
UBERON_0003356;epithelium of nasal septum
UBERON_0012274;columnar epithelium
UBERON_0012275;meso-epithelium
UBERON_0004291;heart rudiment
UBERON_0004803;penis epithelium
UBERON_0004812;male prepuce epithelium
UBERON_0004804;oviduct epithelium
UBERON_0006955;uterine epithelium
UBERON_0003366;epithelium of uterine horn
UBERON_0004801;cervix epithelium
UBERON_0012251;ectocervical epithelium
UBERON_0012253;cervical squamo-columnar junction
CL_0002535;epithelial cell of cervix
CL_0002152;columnar cell of endocervix
CL_1001575;uterine cervix squamous cell
UBERON_0019304;sensory organ epithelium
UBERON_0007625;pigment epithelium of eye
UBERON_0015807;ear epithelium
UBERON_0015813;middle ear epithelium
UBERON_0009647;tympanic membrane epithelium
UBERON_0015814;outer ear epithelium
UBERON_0006938;pinna surface epithelium
CL_0000066;epithelial cell
CL_2000064;ovarian surface epithelial cell
CL_1000465;chromaffin cell of ovary
CL_1000466;chromaffin cell of right ovary
CL_1000467;chromaffin cell of left ovary
CL_0000067;ciliated epithelial cell
CL_0000065;ependymal cell
CL_0000706;choroid plexus epithelial cell
CL_0005012;multi-ciliated epithelial cell
CL_0002145;ciliated columnar cell of tracheobronchial tree
CL_0002303;pigmented ciliary epithelial cell
CL_0002304;non-pigmented ciliary epithelial cell
CL_0000239;brush border epithelial cell
CL_0000076;squamous epithelial cell
CL_0000077;mesothelial cell
CL_1000298;mesothelial cell of dura mater
CL_1000444;mesothelial cell of anterior chamber of eye
CL_1000490;mesothelial cell of peritoneum
CL_1000456;mesothelial cell of parietal peritoneum
CL_1000457;mesothelial cell of visceral peritoneum
CL_1000491;mesothelial cell of pleura
CL_1000492;mesothelial cell of parietal pleura
CL_0000132;corneal endothelial cell
CL_0000575;corneal epithelial cell
CL_0002244;squamous cell of ectocervix
CL_0000240;stratified squamous epithelial cell
CL_0000237;keratinizing barrier epithelial cell
CL_0002170;keratinized cell of the oral mucosa
CL_0002221;keratinized squamous cell of esophagus
CL_0000083;epithelial cell of pancreas
CL_1001433;epithelial cell of exocrine pancreas
CL_0002079;pancreatic ductal cell
CL_0002080;pancreatic centro-acinar cell
CL_0000098;sensory epithelial cell
CL_0002167;olfactory epithelial cell
CL_0002491;auditory epithelial cell
CL_0000202;auditory hair cell
CL_0000589;cochlear inner hair cell
CL_0000601;outer hair cell
CL_0005008;macular hair cell
CL_0005014;auditory epithelial support cell
CL_0002315;supporting cell of cochlea
CL_0000634;Claudius cell
CL_0002168;border cell of cochlea
CL_0002172;interdental cell of cochlea
CL_0002490;organ of Corti supporting cell
CL_0000633;Hensen cell
CL_0002165;phalangeal cell
CL_0000635;Deiter's cell
CL_0005015;inner phalangeal cell
CL_1000191;pillar cell
CL_0002163;internal pillar cell of cochlea
CL_0002164;external pillar cell of cochlea
CL_0002316;supporting cell of vestibular epithelium
CL_0002314;external supporting cell of vestibular epithelium
CL_0002317;external limiting cell of vestibular epithelium
CL_0000182;hepatocyte
CL_0002078;meso-epithelial cell
CL_0000115;endothelial cell
CL_2000053;splenic endothelial cell
CL_0002139;endothelial cell of vascular tree
CL_0002138;endothelial cell of lymphatic vessel
CL_2000011;dermis lymphatic vessel endothelial cell
CL_1000414;endothelial cell of venule
CL_0002652;endothelial cell of high endothelial venule
CL_1000708;ureter adventitial cell
CL_1000308;fibrocyte of adventitia of ureter
CL_0010008;cardiac endothelial cell
CL_0002350;endocardial cell
CL_0000185;myoepithelial cell
CL_1000394;myoepithelial cell of intralobular lactiferous duct
CL_1000416;myoepithelial cell of lactiferous gland
CL_1000418;myoepithelial cell of lactiferous alveolus
CL_1000468;myoepithelial cell of acinus of lactiferous gland
CL_1000420;myoepithelial cell of terminal lactiferous duct
CL_1000445;myoepithelial cell of dilator pupillae
CL_1000469;myoepithelial cell of main lactiferous duct
CL_1000470;myoepithelial cell of primary lactiferous duct
CL_1000471;myoepithelial cell of secondary lactiferous duct
CL_1000472;myoepithelial cell of tertiary lactiferous duct
CL_1000473;myoepithelial cell of quarternary lactiferous duct
CL_0002157;endosteal cell
CL_0002174;follicular cell of ovary
CL_0000501;granulosa cell
CL_0002175;primary follicular cell of ovary
CL_0002176;secondary follicular cell of ovary
CL_0000072;non-branched duct epithelial cell
CL_0002232;epithelial cell of prostatic duct
CL_1000435;epithelial cell of lacrimal duct
CL_1000437;epithelial cell of nasolacrimal duct
CL_0002249;primitive cardiac myocyte
CL_0005010;renal intercalated cell
CL_1001064;kidney artery smooth muscle cell
CL_1001214;arcuate artery smooth muscle cell
CL_0000244;transitional epithelial cell
CL_0002077;ecto-epithelial cell
CL_0000059;ameloblast
CL_0000710;neurecto-epithelial cell
CL_0000060;odontoblast
CL_0000165;neuroendocrine cell
CL_0000568;amine precursor uptake and decarboxylation cell
CL_0000166;chromaffin cell
CL_1000425;chromaffin cell of paraganglion
CL_1000424;chromaffin cell of paraaortic body
CL_0002066;Feyrter cell
CL_1000222;stomach neuroendocrine cell
CL_0000570;parafollicular cell
CL_0000652;pinealocyte
CL_0002088;interstitial cell of Cajal
CL_0002220;interstitial cell of pineal gland
CL_0002256;supporting cell of carotid body
CL_0002081;type II cell of carotid body
CL_0002292;type I cell of carotid body
CL_0002379;meningothelial cell
CL_0000529;pigmented epithelial cell
CL_0002159;general ecto-epithelial cell
CL_0002148;dental pulp cell
CL_0002158;external epithelial cell of tympanic membrane
CL_0002166;epithelial cell of Malassez
CL_0002283;ecto-epithelial cell of viscerocranial mucosa
CL_0002308;epithelial cell of skin gland
CL_0002076;endo-epithelial cell
CL_0002204;brush cell
CL_0002075;brush cell of trachebronchial tree
CL_0002149;epithelial cell of uterus
CL_0002255;stromal cell of endometrium
CL_0002162;internal epithelial cell of tympanic membrane
CL_0002251;epithelial cell of alimentary canal
CL_0002178;epithelial cell of stomach
CL_0002179;foveolar cell of stomach
CL_0002252;epithelial cell of esophagus
CL_0002654;epithelial cell of stratum corneum of esophageal epithelium
CL_0002643;nonkeratinized cell of stratum corneum of esophageal epithelium
CL_0002655;epithelial cell of stratum spinosum of esophageal epithelium
CL_0002198;oncocyte
CL_0002231;epithelial cell of prostate
CL_0002341;basal cell of prostate epithelium
CL_0002236;basal epithelial cell of prostatic duct
CL_0002339;prostate stem cell
CL_0002340;luminal cell of prostate epithelium
CL_0002237;luminal epithelial cell of prostatic duct
CL_0002261;endothelial cell of viscerocranial mucosa
CL_0002336;buccal mucosa cell
CL_0002644;endo-epithelial cell of tympanic part of viscerocranial mucosa
CL_0002645;endo-epithelial cell of pharyngotympanic part of viscerocranial mucosa
CL_0002293;epithelial cell of thymus
CL_0002364;cortical thymic epithelial cell
CL_0002294;type-1 epithelial cell of thymus
CL_0002296;type-4 epithelial cell of thymus
CL_0002297;type-3 epithelial cell of thymus
CL_0002299;type-2 epithelial cell of thymus
CL_0002365;medullary thymic epithelial cell
CL_0002295;type-6 epithelial cell of thymus
CL_0002298;type-5 epithelial cell of thymus
CL_0002368;respiratory epithelial cell
CL_0002631;epithelial cell of upper respiratory tract
CL_0002632;epithelial cell of lower respiratory tract
CL_0002202;epithelial cell of tracheobronchial tree
CL_0000307;tracheal epithelial cell
CL_0002209;intermediate epitheliocyte
CL_0002329;basal epithelial cell of tracheobronchial tree
CL_0002633;respiratory basal cell
CL_0002222;vertebrate lens cell
CL_0011004;lens fiber cell
CL_0002228;primary lens fiber
CL_0002225;secondary lens fiber
CL_0002227;nucleated secondary lens fiber
CL_0002226;non-nucleated secondary lens fiber
CL_0000075;columnar/cuboidal epithelial cell
CL_0000146;simple columnar epithelial cell
CL_0002327;mammary gland epithelial cell
CL_0002326;luminal epithelial cell of mammary gland
CL_0002660;luminal cell of acinus of lactiferous gland
CL_0002662;luminal cell of lactiferous duct
CL_0002661;luminal cell of lactiferous terminal ductal lobular unit
CL_0002518;kidney epithelial cell
CL_0002584;renal cortical epithelial cell
CL_1000681;kidney cortex interstitial cell
CL_1000854;kidney blood vessel cell
CL_1000891;kidney arterial blood vessel cell
CL_1001045;kidney cortex artery cell
CL_1001135;arcuate artery cell
CL_1000893;kidney venous blood vessel cell
CL_1001052;kidney cortex vein cell
CL_0002577;placental epithelial cell
CL_1000296;epithelial cell of urethra
CL_1000415;epithelial cell of gall bladder
CL_1000432;conjunctival epithelial cell
CL_1000433;epithelial cell of lacrimal canaliculus
CL_1000434;epithelial cell of external acoustic meatus
CL_1000441;epithelial cell of viscerocranial mucosa
CL_0000068;duct epithelial cell
CL_0000069;branched duct epithelial cell
CL_0000377;tracheoblast
CL_1000488;cholangiocyte
CL_1000436;epithelial cell of lacrimal sac
CL_0000079;stratified epithelial cell
CL_0000666;fenestrated cell
CL_0010002;epithelial cell of umbilical artery
CL_0002484;epithelial melanocyte
UBERON_0005769;basement membrane of epithelium
UBERON_0004370;anterior limiting lamina of cornea
UBERON_0004367;Descemet's membrane
UBERON_0008877;epidermal-dermal junction
UBERON_0001993;reticular layer of dermis
UBERON_0011922;cochlear basement membrane
UBERON_0015329;respiratory system basement membrane
UBERON_0000482;basal lamina of epithelium
UBERON_0004798;respiratory system basal lamina
UBERON_0004799;trachea basal lamina
UBERON_0004800;bronchus basal lamina
UBERON_0016914;lamina lucida
UBERON_0001967;reticular lamina of epithelium
UBERON_0003490;respiratory system reticular lamina
UBERON_0007825;reticular membrane of spiral organ
UBERON_0006677;surface of epithelium
UBERON_0011945;luminal layer of epithelium
UBERON_0007688;anlage
UBERON_0036146;cardiopharyngeal field
UBERON_0004140;primary heart field
UBERON_0007005;cardiogenic splanchnic mesoderm
UBERON_0009889;secondary heart field
UBERON_0005732;paired limb/fin field
UBERON_0005730;pelvic appendage field
UBERON_0005729;pectoral appendage field
UBERON_0005733;limb field
UBERON_0007687;kidney field
UBERON_0015757;heterogeneous tissue
UBERON_0034769;lymphomyeloid tissue
UBERON_0001744;lymphoid tissue
UBERON_0000444;lymphoid follicle
UBERON_0001249;spleen lymphoid follicle
UBERON_0004041;spleen primary B follicle
UBERON_0004042;spleen secondary B follicle
UBERON_0005196;spleen germinal center
UBERON_0010421;spleen B cell corona
UBERON_0010422;primary nodular lymphoid tissue
UBERON_0010395;lymph node primary follicle
UBERON_0010423;primary lymphoid nodule of tonsil
UBERON_0001745;secondary nodular lymphoid tissue
UBERON_0010753;lymph node secondary follicle
UBERON_0009039;lymph node germinal center
UBERON_0010420;lymph node follicular corona
UBERON_0010754;germinal center
UBERON_0004697;Peyer's patch germinal center
UBERON_0013688;tonsil germinal center
UBERON_0010755;secondary follicle corona
UBERON_0010386;Peyer's patch follicle
UBERON_0010748;lymph node follicle
UBERON_0012069;epithelium-associated lymphoid tissue
UBERON_0001961;mucosa-associated lymphoid tissue
UBERON_0001962;gut-associated lymphoid tissue
UBERON_0002372;tonsil
UBERON_0001732;pharyngeal tonsil
UBERON_0002373;palatine tonsil
UBERON_0003949;tubal tonsil
UBERON_0007250;lingual tonsil
UBERON_0005207;tonsil capsule
